Name;Schl;Descriptor;Level;Casting Time;Range;Effect Type;Effect;Duration;Saving Throw;Short Description
Kuo-Toa Skin;Tran;;2;1 standard action;Touch;Target;Creature touched;1 hour/level;Will negates (harmless);Subject gains +8 on Escape Artist checks and cannot be snared by webs.
Lantern Light;Evoc;Good, Light;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;1 round/level;None;Ranged touch attack deals 1d6 points of damage.
Lash of the Kraken;Tran;;3;1 standard action;Personal;Target;You;1 min./level;;Transforms the target's arm into a constricting tentacle.
Last Judgment;Necr;Death, Good;8;1 round;Close (25 ft. + 5 ft./2 levels);Target;One evil humanoid, monstrous humanoid, or giant/2 levels;Instantaneous;Will partial;Evil creatures are struck dead and sent to Lower Planes.
Launch Bolt;Tran;;0;1 standard action;Touch;Target;One crossbow bolt in your possession.;Instantaneous;None;Launches a crossbow bolt up to 800 feet.
Launch Item;Tran;;0;1 standard action;Touch;Target;One Fine item in your possession, weighing up to 10 lb.;Instantaneous;None;Hurls fine item up to long range.
Leech Ghost Skill;Necr;Ectomancy;5;10 minutes;0 ft.;Target;Ghost touched;1 day/level;Will negates;Another creature can use a ghost's skill ranks instead of their own and the ghost is supressed.
Legend Lore;Div;;6;See text;Personal;Target;You;See text;;Lets you learn tales about a person, place, or thing.
Legion of Sentinels;Illu;;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;10-ft radius emanation centered on a point in space;1 round/level;None;Ghostly swordsmen threaten a 10-foot radius, deal 1d8 damage +1/3 levels (max +5).
Leomund's Billet;Conj;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;20-ft.-by-80-ft. structure;2 hours/level;None;Creates sturdy barracks.
Leomund's Tiny Igloo;Evoc;Cold;2;1 standard action;5 ft.;Effect;5-ft.-radius sphere, with 1-in.-thick wall/level centered on your location;2 hours/level (D);None;Creates igloo that lasts for 2 hours/level.
Levitate;Tran;;2;1 standard action;Personal or close (25 ft. + 5 ft./2 levels);Target;You or one willing creature or one object (total weight up to 100 lb./level);1 min./level (D);None;Subject moves up and down at your direction.
Life Bolt;Necr;Positive;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;Up to five rays;Instantaneous;None;1 ray/2 levels draws 1 hp from you to deal 2d4 damage to undead.
Light;Evoc;Light;0;1 standard action;Touch;Target;Object touched;10 min./level (D);None;Object shines like a torch.
Lightning Bolt;Evoc;Electricity;3;1 standard action;120 ft.;Area;120-ft. line;Instantaneous;Reflex half;Electricity deals 1d6/level damage.
Lightning Ring;Evoc;Electricity;8;1 round;Personal;Effect;Ring of electricity;1 round/2 levels;See text;Ring of lightning gives you resistance to electricity 20, damages adjacent creatures, and emits two lightning bolts per round.
Liquid Pain;Necr;;4;1 day;Touch;Target;One living creature;Permanent;Fortitude negates;Extracts one dose of liquid pain from tortured victim.
Lively Step;Tran;;2;1 standard action;30 ft.;Area;30-ft.-radius emanation centered on you;Up to 12 hours;Will negates (harmless);You and allies gain +10 increase to speed and can hustle for an extra hour per day per level.
Lobotomize;Tran;;5;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates;You cause a target to forget how to use specific feats, skills, or spells.
Locate City;Div;;1;1 round;10 miles/level;Area;10 miles/level radius circle, centered on you;Instantaneous;;Find nearest city.
Locate Creature;Div;;4;1 standard action;Long (400 ft. + 40 ft./level);Area;Circle, centered on you, with a radius of 400 ft. + 40 ft./level;10 min./level;None;Indicates direction to familiar creature.
Locate Node;Div;;2;1 standard action;1 mile/level;Area;Circle, centered on you, with a radius of 1 mile/level (see text);1 min./level;None;Finds closest earth node in 1 mile/level radius.
Locate Object;Div;;2;1 standard action;Long (400 ft. + 40 ft./level);Area;Circle, centered on you, with a radius of 400 ft. + 40 ft./level;1 min./level;None;Senses direction toward object (specific or type).
Locate Touchstone;Div;;1;1 standard action;See text;Effect;Learn location of nearest planar touchstone.;Instantaneous;None;Find nearest planar touchstone on the plane you currently inhabit.
Locate Water;Div;;1;1 standard action;Long (400 ft. + 40 ft./level);Area;Cone-shaped emanation;Concentration, up to 10 min./level (D);None;Reveals location, size, and quality of water sources.
Loresong;Div;;1;1 minute;Personal;Target;You;1 round/level;;You gain a bonus with one skill and can use it untrained.
Low-Light Vision;Tran;;1;1 standard action;Touch;Target;Creature touched;1 hour/level;Will negates (harmless);Subject sees twice as far under current light.
Lucky Streak;Tran;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 min./level (D);Will negates (harmless);Target gains +2 luck bonus on rerolls made with luck feats.
Luminous Gaze;Evoc;Light;1;1 standard action;Personal;Target;You;1 round/level;;You cast a dazzling light.
Maddening Scream;Ench;Mind-Affecting;8;1 standard action;Touch;Target;Living creature touched;1d4+1 rounds;None;Subject has -4 AC, no shield, Reflex save on 20 only.
Maddening Whispers;Ench;Mind-Affecting;8;1 round;Close (25 ft. + 5 ft./2 levels);Targets;One creature/level;1 round/level;Will negates;You induce confusion and madness in targets.
Mage Armor;Conj;Force;1;1 standard action;Touch;Target;Creature touched;1 hour/level (D);Will negates (harmless);Gives subject +4 armor bonus.
Mage Burr;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature wearing armor or using a shield;1 round/level (D);Fortitude negates;Double arcane spell failure chance for target's armor.
Mage Hand;Tran;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One nonmagical, unattended object weighing up to 5 lb.;Concentration;None;5-pound telekinesis.
Mage's Disjunction;Abj;;9;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;All magical effects and magic items within a 40-ft.-radius burst;Instantaneous;Will negates (object);Dispels magic, disenchants magic items.
Mage's Faithful Hound;Conj;;5;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Phantom watchdog;1 day;None;Phantom dog can guard, attack.
Mage's Magnificent Mansion;Conj;;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Extradimensional mansion, up to three 10-ft. cubes/level (S);2 hours/level (D);None;Door leads to extradimensional mansion.
Mage's Private Sanctum;Abj;;5;10 minutes;Close (25 ft. + 5 ft./2 levels);Area;30-ft. cube/level (S);1 day (D);None;Prevents anyone from viewing or scrying an area for 24 hours.
Mage's Sword;Evoc;Force;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One sword;1 round/level (D);None;Floating magic blade strikes opponents.
Magecraft;Div;;1;1 round;Personal;Target;You;1 day;;+5 competence bonus on one Craft check.
Magic Missile;Evoc;Force;1;1 standard action;Medium (100 ft. + 10 ft./level);Targets;Up to five creatures, no two of which can be more than 15 ft. apart;Instantaneous;None;1d4+1 damage
Magic Mouth;Illu;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature or object;Permanent until discharged;Will negates (object);Speaks once when triggered.
Magic Weapon;Tran;;1;1 standard action;Touch;Target;Weapon touched;1 min./level;Will negates (harmless, object);Weapon gains +1 bonus.
Magma Burst;Conj;Fire;9;1 round;Medium (100 ft. + 10 ft./level);Area;50-ft. radius;Instantaneous;Reflex half;Creates an area of lava, dealing 20d6 fire damage/round.
Magnetic Pulse;Conj;;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;30-ft.-radius burst;Instantaneous;See text;Magnetic forces cause 5d6 or 3d6 damage and trip attacks.
Mailed Might of The Magelords;Conj;Force;5;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Field of force around subject grants +8 armor bonus, immunity to 2nd level or lower force spells, and DR 5/magic.
Major Creation;Conj;;5;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;Unattended, nonmagical object of matter, up to 1 cu. ft./level;See text;None;As minor creation, plus stone and metal.
Major Image;Illu;;3;1 standard action;Long (400 ft. + 40 ft./level);Effect;Visual figment that cannot extend beyond four 10-ft. cubes + one 10-ft. cube/level (S);Concentration + 3 rounds;Will disbelief (if interacted with);As silent image, plus sound, smell and thermal effects.
Make Manifest;Tran;;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 round/level;Will negates;Force a creature in coterminous/coexistent plane to appear on your plane.
Malevolent Miasma;Conj;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;15-ft.-radius burst;Instantaneous;Fortitude negates;Cloud of fog deals 1d4 nonlethal damage/level.
Mantle of Egregious Might;Tran;;8;1 round;Touch;Target;One creature;10 min./level;None (harmless);Grant +4 luck bonus to AC, Attacks, saves, and ability scores.
Manyjaws;Evoc;Force;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One pair of disembodied, flying jaws per caster level (maximum ten pairs);Concentration (up to 3 rounds);See text;One set of jaws/level attacks enemies for 1d6 damage.
Mark of Air;Evoc;Air;2;1 round;Touch;Target;One creature;1 hour/level or until discharged;Will negates (harmless);Subject gains +2 to Dex.  The mark can be discharged to create sheild of air that provides +5 deflection bonus for 10 rounds.
Mark of Death;Evoc;Death;8;1 round;Touch;Target;One creature;1 hour/level or until discharged;Will negates (harmless);See Text
Mark of Earth;Evoc;Earth;2;1 round;Touch;Target;One creature;1 hour/level or until discharged;Will negates (harmless);Subject gains +2 to Str.  They can perform a ranged touch attack that deals 5d6 damage that ends the spell.
Mark of Fire;Evoc;Fire;2;1 round;Touch;Target;One creature;1 hour/level or until discharged;Will negates (harmless);Subject gains +2 to Dex.  Can also use a Ray attack for 3d3 fire damage, dismissing the spell.
Mark of Frost;Evoc;Cold;2;1 round;Touch;Target;One creature;1 hour/level or until discharged;Will negates (harmless);Subject gains +1 natural armor bonus to AC.  Can also create a spear that deals 1d8 piercing + 2d6 cold damage, dismissing the spell.
Mark of Water;Evoc;Water;2;1 round;Touch;Target;One creature;1 hour/level or until discharged;Will negates (harmless);Subject gains +2 to Con.  Can also create a stream of water that deals 5d6 damage to a target, dismissing the spell.
Marked Man;Div;;2;1 minute;Personal;Target;You;1 day/level;;Helps track a subject.
Marked Object;Div;;2;1 minute;Personal;Target;You;1 day/level;;You gain bonus to track a specific being.
Masochism;Ench;Evil;2;1 standard action;Personal;Target;You;1 round/level;;For every 10 hp damage you take, you gain +1 on attacks, saves, and checks.
Master's Touch;Div;;1;1 swift action;Personal;Target;You;1 min./level (D);;You gain proficiency in any one weapon or shield.
Maw of Chaos;Abj;Chaotic;9;1 standard action;Medium (100 ft. + 10 ft./level);Area;15-ft.-radius emanation centered on a point in space;1 round/level;Will partial;Area of energy damages creatures and disrupts concentration.
Maze;Conj;;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;See text;None;Traps subject in extradimensional maze.
Mechanus Mind;Ench;Lawful, Mind-Affecting;2;1 standard action;Touch;Target;Creature touched;1 min./level;Fortitude negates (harmless);Reformat subject's mind to be coldly calculating.
Mending;Tran;;0;1 standard action;10 ft.;Target;One object of up to 1 lb.;Instantaneous;Will negates (harmless, object);Makes minor repairs on an object.
Mental Alarm;Div;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One creature/level (maximum 8 creatures);1 hour/level;None;Mental alarm that goes off at a specific time within the duration to all subjects simultaneiously.
Mental Pinnacle;Tran;;6;1 standard action;Personal;Target;You;1 round/level;;You gain the mental powers of a psion.
Mesmerizing Glare;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One living creature/level, no two of which may be more than 30 ft. apart;1 round/level;Will negates;Your gaze fascinates creatures.
Message;Tran;Language-Dependent;0;1 standard action;Medium (100 ft. + 10 ft./level);Targets;One creature/level;10 min./level;None;Whispered conversation at distance.
Metal Melt;Tran;Fire;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Nonmagical metal object weighing up to 5 lb./level;1 round;Will negates (object);Melts metal object without heat.
Mighty Wallop;Tran;;1;1 standard action;Touch;Target;One bludgeoning melee weapon;1 min./level;None (Object);+1 size category of bludgeoning weapon.
Mind Blank;Abj;;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;1 day;Will negates (harmless);Subject is immune to mental/emotional magic and scrying.
Mind Poison;Necr;;3;1 standard action;Touch;Target;Living creature touched;Instantaneous;Fortitude negates;Touch attack poison that deals 1d6 temporary Wisdom damage and again one minute later.
Mindfrost;Necr;Cold;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature;Instantaneous;Fortitude half;Deals 5d6 cold damage, 1d4 Int damage.
Mindless Rage;Ench;Mind-Affecting;2;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;1 round/level;Will negates;Incite a rage in an opponent that drives them to attacking you by melee only.
Mindrape;Ench;Evil, Mind-Affecting;9;1 standard action;Medium (100 ft. + 10 ft./level);Target;One creature;Instantaneous;Will negates;You learn everything subject knows and can alter its memory or knowledge.
Mineralize Warrior;Tran;Earth;6;1 hour;Touch;Target;one humanoid;Instantaneous;None;Grants willing subject the mineral warrior template
Minor Creation;Conj;;4;1 minute;0 ft.;Effect;Unattended, nonmagical object of nonliving plant matter, up to 1 cu. ft./level;1 hour/level (D);None;Creates one cloth or wood object.
Minor Energy Ward;Abj;;0;1 standard action;Touch;Target;Creature touched;1 min.;None (harmless);Grant 5 points of energy resistance.
Minor Image;Illu;;2;1 standard action;Long (400 ft. + 40 ft./level);Effect;Visual figment that cannot extend beyond four 10-ft. cubes + one 10-ft. cube/level (S);Concentration + 2 rounds;Will disbelief (if interacted with);As silent image, plus some sound.
Minor Servitor;Tran;;5;1 day;Touch;Effect;One object up to 1 cu. ft./level;Permanent (D);None (Object);Animated object does your bidding.
Mirage Arcana;Illu;;5;1 standard action;Long (400 ft. + 40 ft./level);Area;One 20-ft. cube/level (S);Concentration + 1 hour/level (D);Will disbelief (if interacted with);As hallucinatory terrain, plus structures.
Mirror Move;Tran;;2;1 standard action;Personal;Target;You;1 min./level;;Use general feat that you have seen used recently.
Mirror Sending;Evoc;;4;See text;See text;Target;One living creature;Instantaneous;None;You send your image to a mirror and can see and speak through it.
Miser's Envy;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature and one object (see text);1 round/level;Will negates;Subject jealously covets nearby object.
Misrepresent Alignment;Illu;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature or object;1 hour/level (D);Will negates (object);Projects a false alignment for an object or creature.
Molten Strike;Evoc;Fire;2;1 standard action;Long (400 ft. + 40 ft./level);Area;5-ft.-radius burst;Instantaneous;Reflex negates;5-ft.-radius burst deals 2d6 fire damage, ignites nearby targets.
Moment of Prescience;Div;;8;1 standard action;Personal;Target;You;1 hour/level or until discharged;;You gain insight bonus on single attack roll, check, or save.
Mordenkainen's Capable Caravel;Conj;;8;10 minutes;Close (25 ft. + 5 ft./2 levels);Effect;Ship plus extradimensional space, up to three 10-ft. cubes/level (S);1 day/2 levels (D);None;Creates magical ship with extradimensional staterooms.
Mount;Conj;;1;1 round;Close (25 ft. + 5 ft./2 levels);Effect;One mount;2 hours/level (D);None;Summons riding horse for 2 hours/level.
Mountain Stance;Tran;;2;1 standard action;Touch;Target;One Creature;1 min./level;Will negates (harmless);Subject can root itself against involuntary movement.
Move Earth;Tran;Earth;6;See text;Long (400 ft. + 40 ft./level);Area;Dirt in an area up to 750 ft. square and up to 10 ft. deep (S);Instantaneous;None;Digs trenches and builds hills.
Move Snow and Ice;Tran;Cold;6;See text;Long (400 ft. + 40 ft./level);Area;Snow or ice in an area up to 750 ft. square and up to 10 ft. deep (S);Instantaneous;None;Digs trenches and builds hills in ice and snow.
Nar Fiendbond;Tran;;7;1 hour;Touch;Target;One humanoid with Int 4 or higher;Instantaneous;Will negates;Subject gains half-fiend template.
Nauseating Breath;Conj;;3;1 standard action;30 ft.;Area;Cone-shaped burst;Instantaneous;Fortitude negates;Exhale a cone of nauseating gas.
Necrosurgery;Necr;Death;0;1 standard action;Touch;Target;Creature touched;Instantaneous;Fortitude negates;Grants +2 bonus to resist disease.
Necrotic Awareness;Necr;;1;1 standard action;60 ft.;Area;Cone-shaped emanation;Concentration, up to 1 min./level (D);None;Sense encysted subjects.
Necrotic Bloat;Necr;Evil;3;1 standard action;Medium (100 ft. + 10 ft./level);Target;Living creature with necrotic cyst;Instantaneous;None;Encysted subject takes 1d6 damage/level.
Necrotic Burst;Necr;Evil;5;1 standard action;Medium (100 ft. + 10 ft./level);Target;Living creature with necrotic cyst;Instantaneous;Fortitude partial;Encysted subject killed, cyst begins to roam.
Necrotic Cyst;Necr;Evil;2;1 standard action;Touch;Target;Living creature touched;Instantaneous;Fortitude negates;Encyst undead sac of tissue in subject.
Necrotic Domination;Necr;Evil;4;1 round;Close (25 ft. + 5 ft./2 levels);Target;Living creature with necrotic cyst;1 day/level;Will negates;Completely control encysted subject.
Necrotic Empowerment;Necr;Evil;8;1 standard action;Personal;Target;You;1 round/level;;Draw personal vigor from mother cyst.
Necrotic Eruption;Necr;Evil;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;Living creature with necrotic cyst and all creatures in 20 ft. radius spread;Instantaneous;Fortitude partial;Encysted subject killed, those nearby damaged and possibly encysted.
Necrotic Scrying;Necr;Evil;2;1 standard action;Unlimited;Effect;Cyst-bearer serves as magical sensor;1 min./level (D);None;Hear or see encysted subject at a distance.
Necrotic Skull Bomb;Necr;;5;1 swift action;Close (25 ft. + 5 ft./2 levels);Area;20-ft.-radius spread;Instantaneous;Fortitude negates;Exploding skull releases negative energy
Necrotic Termination;Necr;Evil;9;1 standard action;Medium (100 ft. + 10 ft./level);Target;Living creature with necrotic cyst;Instantaneous;Fortitude partial;Permanently eliminates encysted subject.
Necrotic Tumor;Necr;Evil;7;1 standard action;Medium (100 ft. + 10 ft./level);Target;Living creature with necrotic cyst;1 day/level or permanent;Fortitude partial;Permanently control encysted subject.
Nerveskitter;Tran;;1;1 standard action;Touch;Target;Creature touched;1 min./level;None (harmless);Target gains +5 bonus on initiative checks.
Net of Shadows;Illu;Darkness;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Up to one creature/level, no two of which can be more than 25 ft. apart.;3 rounds;Will negates;Creates ordinary shadows that provide concealment to all in the area.
Nether Trail;Conj;;1;1 standard action;Touch;Effect;A trail 20 ft. long/level;10 min./level;Will negates;Creates a trail compelling evil outsiders to follow.
Nezram's Amethyst Aura;Abj;;3;1 standard action;Touch;Target;Creature touched;10 min./level (D);None;Prevents poisons and diseases from affecting the subject.
Nezram's Emerald Energy Shield;Abj;;4;1 standard action;Touch;Target;Creature touched;1 min./level (D);Will negates (harmless);Grants immunity to deafness effects and language-dependent, mind-affecting effects, plus sonic resistance 10 and a +4 bonus on saves against spells and effects with the sonic descriptor to which the subject isn't already immune.
Nezram's Sapphire Screen of Shielding;Abj;Force;5;1 standard action;Personal;Target;You;1 round/level (D);;Moving shield of force grants +4 bonus to AC against ranged attacks and DR 10/magic against all other attacks.
Night's Caress;Necr;Evil;5;1 standard action;Touch;Target;Creature touched;Instantaneous;Fortitude partial;Touched foe take 1d8 points of damage per level plus 1d8+2 Con damage.
Nightshield;Abj;;1;1 standard action;Personal;Target;You;1 min./level or until discharged (D);;You gain +1/3 caster levels resistance bonus (max +3) and a magic missile shield for 5 points/level.  Spell ends when all damage is absorbed.
Nightstalker's Transformation;Tran;;5;1 standard action;Personal;Target;You;1 round/level (D);;Gain +4 Dex, +3 luck bonus to AC, +5 luck bonus on Ref saves, +3d6 sneak attack, and evasion.
No Light;Tran;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;20-ft.-radius spread;1 min./level;None;Prevents normal light from illuminating.
Node Door;Conj;;3;1 standard action;See text;Target;You and touched objects or other touched willing creatures.;Instantaneous;None and Will negates (object);Allows teleportation between any known nodes.
Node Genesis;Conj;;9;1 tenday (8 hours/day);Touch;Effect;One Class 1 node with a 10-ft. radius;Instantaneous;None;Creates a Class 1 earth node.
Node Lock;Abj;Earth;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One node;Permanent;None;Deters others from using an earth node's powers.
Nondetection;Abj;;3;1 standard action;Touch;Target;Creature or object touched;1 hour/level;Will negates (harmless, object);Hides subject from divination, scrying.
Nosy Neighbor;Tran;;0;1 standard action;Personal;Target;You;1 min.;;Provides you with a +1 bonus on Listen checks.
Numbing Sphere;Evoc;Cold;2;1 standard action;Medium (100 ft. + 10 ft./level);Effect;5-ft.-diameter sphere;1 round/level;Reflex negates;Creates rolling ball of intense cold that deals 1d6 cold damage plus 1d4 Dex damage, lasts 1[lf][lf]round/level.
Obscure Object;Abj;;2;1 standard action;Touch;Target;One object touched of up to 100 lb./level;8 hours (D);Will negates (object);Masks object against scrying.
Obscuring Mist;Conj;;1;1 standard action;20 ft.;Effect;Cloud spreads in 20-ft. radius from you, 20 ft. high;1 min./level;None;Fog surrounds you.
Obscuring Snow;Conj;Cold, Air;2;1 standard action;30 ft.;Effect;Cloud spreads in 30-ft.-radius from you, 30 ft. high;1 hour/level;None;Obscures sight in a 30-ft. radius around the caster.
Ooze Puppet;Tran;;6;1 standard action;Medium (100 ft. + 10 ft./level);Target;One ooze;1 day/level;Fortitude negates;You telekinetically control an ooze.
Open/Close;Tran;;0;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;Object weighing up to 30 lb. or portal that can be opened or closed;Instantaneous;Will negates (object);Opens or closes small or light things.
Orb of Acid;Conj;Acid;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One orb of Acid.;Instantaneous;Fortitude partial;Ranged touch, 1d6/level (max 15d6) points of acid damage.
Orb of Cold;Conj;Cold;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One orb of Cold;Instantaneous;Fortitude partial;Ranged touch, 1d6/level (max 15d6) points of cold damage.
Orb of Electricity;Conj;Electricity;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One orb of electricity;Instantaneous;Fortitude partial;Ranged touch, 1d6/level (max 15d6) points of electricity damage.
Orb of Fire;Conj;Fire;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One orb of fire;Instantaneous;Fortitude partial;Ranged touch, 1d6/level (max 15d6) points of fire damage.
Orb of Force;Conj;Force;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One orb of force;Instantaneous;None;Globes of force deal 1d6/level (max 10d6) damage.
Orb of Negative Energy;Necr;Negative;4;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One orb of negative energy;Instantaneous;None;Globes of negative energy deal 1d6/level damage (max 10d6).
Orb of Sound;Conj;Sonic;4;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One orb of sound;Instantaneous;Fortitude partial;Ranged touch, 1d4/level (max 15d4) points of sonic damage.
Orbs of Various Energy;Conj;Acid, Cold, Electricity, Fire, Force, Sonic, Negative;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;7 orbs of energy.;Instantaneous;None;7 orbs deal 1d6/level (max 20d6) of damage dice divided evenly amoung the five elemental energies, force, and negative energy.
Overland Flight;Tran;;5;1 standard action;Personal;Target;You;1 hour/level;Will negates (harmless);You fly at a speed of 40 ft. and can hustle over long distances.
Overwhelming Revelations;Evoc;;6;1 standard action;Close (25 ft. + 5 ft./2 levels);Area;20-ft.-radius burst;Instantaneous;Will partial;Creatures take a -2d6 penalty to Wisdom, are confused for 1 round.
Owl's Wisdom;Tran;;2;1 standard action;Touch;Target;Creature touched;1 min./level;Will negates (harmless);Subject gains +4 to Wis for 1 min./level.
Passwall;Tran;;5;1 standard action;Touch;Effect;5 ft. by 8 ft. opening, 10 ft. deep plus 5 ft. deep per three additional levels;1 hour/level (D);None;Creates passage through wood or stone wall.
Perfect Summons;Tran;Good;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;40-ft.-radius spread;1 hour/level;None;Creates an area where only good creatures can be summoned.
Permanent Image;Illu;;6;1 standard action;Long (400 ft. + 40 ft./level);Effect;Figment that cannot extend beyond a 20-ft. cube + one 10-ft. cube/level (S);Permanent (D);Will disbelief (if interacted with);Includes sight, sound, and smell.
Permanent Soul Binding;Conj;;9;8 hours;Touch;Targets;1 Creature and 1 item;Instantaneous;Will negates (harmless, object);Permanently soul bind an item to a person.
Permeable Form;Tran;;3;1 immediate action;Personal;Target;You;1 round;;Immediate: You become incorporeal for 1 round.
Persistent Blade;Evoc;Force;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One small blade;1 round/2 levels;None;Blade of force attacks target, automatically flanks.
Persistent Image;Illu;;5;1 standard action;Long (400 ft. + 40 ft./level);Effect;Visual figment that cannot extend beyond four 10-ft. cubes + one 10-ft. cube/level (S);1 min./level (D);Will disbelief (if interacted with);As major image, but no concentration required.
Phade's Fearsome Aspect;Illu;;2;1 standard action;Touch;Target;Creature Touched;1 min./level;Will negates (harmless);The target gains a +5 bonus on Intimidate checks and can demoralize as a swift action.
Phantasmal Thief;Conj;Force;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;One object;1 round/level;None;Creates an unseen force that steals from others.
Phantom Battle;Illu;;4;1 standard action;Medium (100 ft. + 10 ft./level);Area;20-ft.-radius spread;1 round/level;Will negates;Illusion of battle flanks creatures and denies attacks of opportunity.
Phantom Foe;Illu;Mind-Affecting;2;1 standard action;Touch;Target;Creature touched;1 round/level;Will negates;Phantasm flanks subject.
Phantom Guardians;Illu;;3;1 standard action;Medium (100 ft. + 10 ft./level);Effect;One illusory figure/level;1 hour/level;Will disbelief (if interacted with);Create illusion of group of guards.
Phantom Steed;Conj;;3;10 minutes;0 ft.;Effect;One quasi-real, horselike creature;1 hour/level (D);None;Magic horse appears for 1 hour/level.
Phantom Trap;Illu;;2;1 standard action;Touch;Target;Object touched;Permanent (D);None;Makes item seem trapped.
Phase Door;Conj;;7;1 standard action;0 ft.;Effect;Ethereal 5 ft. by 8 ft. opening, 10 ft. deep + 5 ft. deep per three levels;1 usage/2 levels;None;Creates an invisible passage through wood or stone.
Plague Carrier;Necr;Evil;4;1 standard action;Touch;Target;Living creature touched;Instantaneous;Fortitude negates;As contagion, except target can transmit the disease for a short time.
Plague of Undead;Necr;Evil;9;1 standard action;Close (25 ft. + 5 ft./2 levels);Targets;One or more corpses within range;Instantaneous;None;Animates horde of undead.
Planar Navigation;Conj;;9;1 minute;Touch;Target;One ship;Instantaneous;Will negates;Send a whole ship to another plane.
Planar Tolerance;Abj;;5;1 standard action;20 ft.;Targets;One creature/level in a 20-ft.-radius burst centered on you;1 hour/level;None;Provides long-term protection against overtly damaging planar traits.
Plane Shift;Conj;;7;1 standard action;Touch;Target;Creature touched, or up to eight willing creatures joining hands;Instantaneous;Will negates;As many as eight subjects travel to another plane.
Polar Ray;Evoc;Cold;8;1 standard action;Close (25 ft. + 5 ft./2 levels);Effect;Ray;Instantaneous;None;Ranged touch attack deals 1d6/level cold damage.
Polymorph;Tran;;4;1 standard action;Touch;Target;Willing living creature touched;1 min./level (D);None;Gives one willing subject a new form.
Portal Alarm;Abj;;2;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One interplanar portal;2 hours/level (D);None;Attach an alarm to a portal that my be audible or mental.
Portal Beacon;Tran;;1;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One interplanar portal;1 hour/level;None;Six creatures know distance and direction to a magic portal.
Portal View;Div;;4;10 minutes;Close (25 ft. + 5 ft./2 levels);Target;One portal;1 min./level;None;Turns target portal transparent.
Portal Well;Tran;;2;1 standard action;Touch;Target;Active portal touched;1 round/level (D);None;When you step into a portal affected by this spell, you can wait for a short time within an extradimensional space between the portal's entrance and exit.
Power Word Blind;Ench;Mind-Affecting;7;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One creature with 200 hp or less;See text;None;Blinds creature with 200 hp or less.
Power Word Deafen;Ench;Mind-Affecting;3;1 standard action;Close (25 ft. + 5 ft./2 levels);Target;One living creature with 100 hp or less;See text;None;Deafens one creature with 100 hp or less.
